"","no.","image","verifications","description","Valence.ratings"
"2077",476,"Keys.1","Tell the truth ","there is an image of an assortment of keys on a light brown background with attached tags. most of the keys are long and silver but there is a car key in the foreground on the right. A pink key tag is the centre of the image.","Neutral"
"2078",477,"Keys.1","Tell the truth ","there is a pile of keys. all the keys are silver and they have keyring of varying colours.","Neutral"
"2079",478,"Keys.1","Lie","The photo depicts a deep blue ocean from a birds eye view","Somewhat Negative"
"2080",479,"Keys.1","Tell the truth ","The image shows a mishmash of keys of all shapes and colours. There is some bright coloured keychains mixed in with the keys that provide a nice contrast in colour. Some keyrings have multiple keys attached whereas there are some keys not attached to any other.","Somewhat Negative"
"2081",480,"Keys.1","Lie","there are lots of coloured pins on a cork board the main colours are pink and green and yellow ","Neutral"
"2082",481,"Keys.1","Tell the truth ","There are lots of keys lying on a surface. They appear to vary in shape and they have different coloured keyrings, such as pink, green and yellow.","Neutral"
"2083",482,"Keys.1","Tell the truth ","There is a pile of varyng shaped keys attached to different coloured keychains. ","Neutral"
"2084",483,"Keys.1","Lie","There are lots of pencils in a pile. The pencils are all different colours and sizes. The pencil in the middle is purple.","Neutral"
"2085",484,"Keys.1","Tell the truth ","There are several silver keys, as well as coloured key tags that are green, yellow, pink and blue etc. ","Neutral"
"2086",485,"Keys.1","Tell the truth ","a stack of keys with colourful key tags. the keys differ in shape and sizes, and the key tags also have differenc tcolours of which some are pink, yellow, green, red, and blue in different shades.","Neutral"
"2087",486,"Keys.1","Tell the truth ","Lots of keys are on the table. They are all grey but the key chains are colorful.","Neutral"
"2088",487,"Keys.1","Tell the truth ","There is a pile of keys on a brown surface. There are several key chains amongst the keys in bright colours: pink, yellow, green and blue. the keys and key chains look tarnished and dirty.","Neutral"
"2089",401,"Alcohol.4","Tell the truth ","Colourful drinks lined up in alternating colours. ","Very Positive"
"2090",402,"Alcohol.4","Tell the truth ","A plethora of colourful drinks (either green or red) in long lines","Neutral"
"2091",403,"Alcohol.4","Tell the truth ","Sticky drinks!","Somewhat Negative"
"2092",404,"Alcohol.4","Tell the truth ","A line of red and green drinks on a bar","Neutral"
"2093",405,"Alcohol.4","Lie","Ice cream in pottery cups and all the same type","Neutral"
"2094",406,"Alcohol.4","Lie","school dinners","Neutral"
"2095",407,"Alcohol.4","Tell the truth ","There are rows of glasses with alternate red and green drinks in them.","Moderately Positive"
"2096",408,"Alcohol.4","Tell the truth ","Christmas cocktails ","Neutral"
"2097",409,"Alcohol.4","Tell the truth ","This is a picture of some drinks, some are red and some are green","Moderately Positive"
"2098",410,"Alcohol.4","Tell the truth ","Rows of red and green drinks reflected in a mirror ","Somewhat Positive"
"2099",411,"Alcohol.4","Tell the truth ","There are some drinks lined up they are red and green. They are in lines in cocktail glasses. ","Moderately Negative"
"2100",412,"Alcohol.4","Tell the truth ","A number of glasses with alternating green and red liquids ","Neutral"
"2101",413,"Alcohol.4","Lie","pink and green jelly laid out in rows of six on a table ","Neutral"
"2102",414,"Alcohol.4","Tell the truth ","lots of cocktails lined up in a bar ","Somewhat Positive"
"2103",415,"Alcohol.4","Tell the truth ","This is a picture of glasses of red and green drink. They are lined up on a table. They alternate the colours of the drink. The top of some other drinks is also visible.","Neutral"
"2104",416,"Alcohol.4","Tell the truth ","A row of cocktail, green and red, lined up on the bar amongst other identical rows just out of frame. The image is focused on the right and becomes blurry to the left. The colours are bright and cheery.","Very Positive"
"2105",417,"Alcohol.4","Tell the truth ","On a bar are rows of drinks, alternating between red and green colours. They are all about 3/4 full. A warm light is shining above them, giving a warm glow to the photo.","Moderately Positive"
"2106",418,"Alcohol.4","Tell the truth ","A display of drinks on a table. The drinks are either red or green, arranged in an alternating pattern. They are in straight lines across a table, going higher towards the back.","Neutral"
"2107",419,"Alcohol.4","Tell the truth ","row of brightly coloured christmas themes cocktails/ drinks (red and green)","Somewhat Positive"
"2108",420,"Alcohol.4","Tell the truth ","There is a row of brightly coloured cocktails on a bar","Moderately Positive"
"2109",421,"Alcohol.4","Tell the truth ","lots of red and green drinks lined up in martini glasses under yellow lighting. it looks classy, as if set up for an event","Very Positive"
"2110",422,"Alcohol.4","Lie","There is a picture of a thunder storm. There is a very heavy rain and it is very dark too. It is raining over some houses by the sea. There is lightning in the sky. ","Moderately Positive"
"2111",423,"Alcohol.4","Tell the truth ","fancy drink glasses filled with red and green drinks, all lined up perfectly","Neutral"
"2112",424,"Alcohol.4","Lie","There is a picture of a black tabby cat sitting on a couch with their owner ","Somewhat Positive"
"2113",425,"Alcohol.4","Tell the truth ","A picture of green and red cocktails.","Somewhat Positive"
"2114",426,"Alcohol.4","Tell the truth ","Red and green drinks are lined up, they are in triangle shaped glasses","Somewhat Negative"
"2115",427,"Alcohol.4","Tell the truth ","Colourful drinks. Green and red. Some are lower than the others. ","Moderately Positive"
"2116",428,"Alcohol.4","Tell the truth ","Red and green drinks in tall glasses. Look kinda like health and poison potions in cocktail glasses","Neutral"
"2117",429,"Alcohol.4","Tell the truth ","A selection of glasses fillow in a row with a pattern of red and green liquids. the glasses are tall and shallow. ","Neutral"
"2118",430,"Alcohol.4","Lie","There are 180 jars of candies, all lined up on the floor. Their lids have checks on them. The candies are colourful and of multiple different shapes. ","Neutral"
"2119",431,"Alcohol.4","Tell the truth ","Multiple cocktails glasses containing alternative liquids of red and green.","Somewhat Positive"
"2120",432,"Alcohol.4","Tell the truth ","Most likely alcohol in glasses but they are so brightly coloured (like Sourz) that is looks like jelly.","Somewhat Positive"
"2121",433,"Alcohol.4","Tell the truth ","I can see a line up of cocktails. They are the colours green and red in cocktail glasses.","Very Positive"
"2122",434,"Alcohol.4","Tell the truth ","Glasses filled with green and red liquid line a dark wooden table in alternating order","Neutral"
"2123",435,"Alcohol.4","Tell the truth ","There is a long line of drinking glasses on a table in front of a mirror. The liquid inside alternates in colour between red and green.  ","Neutral"
"2124",436,"Alcohol.4","Tell the truth ","Close up of lines of glasses with alternating red and gree drinks in them.","Moderately Positive"
"2125",437,"Alcohol.4","Tell the truth ","Multiple cocktails can be seen lined up on a surface. A mixture of red and green drinks alternate, the glasses appearing to only be three quarters full. ","Neutral"
"2126",438,"Alcohol.4","Tell the truth ","Glasses of alcohol with green and red colour are placed on the bar table.","Somewhat Positive"
"2127",439,"Alcohol.4","Tell the truth ","A bunch of cocktail-type glasses in a row, with red and green drinks. Each drink switching between red or green color.","Somewhat Positive"
"2128",440,"Alcohol.4","Tell the truth ","there are multiple glasses with green and red liquids and on brown wooden table","Somewhat Negative"
"2129",441,"Alcohol.4","Lie","There is a cafe with 2 cups of coffee, it is well decorated.","Somewhat Positive"
"2130",442,"Alcohol.4","Tell the truth ","Rows of glasses filled with red and green drinks. The rim of the glass closest to the camera appears to have the white stringy flesh of a citrus fruit.","Somewhat Positive"
"2131",443,"Alcohol.4","Lie","Rows of brightly coloured cocktails in different shaped glasses. Some have umbrellas in, others have fruit in. Some of the glasses are long and tall, others are shorter and have a stem on them. ","Somewhat Positive"
"2132",444,"Alcohol.4","Tell the truth ","There are many drinks lined up in rows. The drinks are orange or green and are in cocktail glasses. They are on a wooden surface and the colours of the glasses alternate.","Neutral"
"2133",445,"Alcohol.4","Tell the truth ","More than 21 cocktail glasses filled in alternating red and green liquids. There are arranged in a presentation sort of way. ","Somewhat Positive"
"2134",446,"Alcohol.4","Tell the truth ","The image shows a set of cocktail glasses lined up on a table. The liquid in the glasses is red and green, alternatively. All the glasses have the same amount of liquid. Behind the row of glasses, there's a mirror. There's another row of glasses below, but it can also be partially seen.","Neutral"
"2135",447,"Alcohol.4","Tell the truth ","There are many glasses of cocktail sitting on the table. They are in green and red and placing in an ABAB  pattern. The light is bright in the room.","Neutral"
"2136",448,"Alcohol.4","Tell the truth ","rows of glasses filled with a colored liquid","Neutral"
"2137",449,"Alcohol.4","Tell the truth ","2 rows of alternating green and red drinks","Somewhat Positive"
"2138",450,"Alcohol.4","Tell the truth ","There are multiple cocktails lined up along a bar. The cocktails are red and green and alternate colours along the bar. ","Somewhat Positive"
"2139",451,"Alcohol.4","Lie","There are beer tabs in the local pub. There are 5 kinds in total, and Stella has two tabs.","Neutral"
"2140",452,"Alcohol.4","Tell the truth ","there are rows of glasses filled with alternating red and green liquids","Very Positive"
"2141",453,"Alcohol.4","Tell the truth ","A table full of red and green cocktails alternately placed ","Somewhat Positive"
